,楼盘名,价格,项目地址,开发商,物业公司,最新开盘,交房时间,容积率,产权年限,绿化率,规划户数,物业费用,车位情况
33,蜀都中心二期, 14500,吉庆三路333号,成都蜀都银泰置业有限公司,第一太平戴维斯,2017.09,2014年06月01日,10.60,40年,16%,364,12元/m²/月,地下车位数1400
34,融创香璟台一期, 15138,高新区中和街道观东社区三组、龙灯山社区十一、十二组,成都融创仁源房地产开发有限公司,融创物业,2017.10.30,2019年09月,3.00,70年,30%,260,3.2元/m²/月,地下车位数567
35,誉峰三期, 19000,交子大道333号,成都市中天盈房地产开发有限公司,合景宁骏物业管理有限公司,2017.10.19,2018年09月30日,7.32,40年,30%,168,22元/m²/月,地下车位数1020
36,中洲锦城湖岸, 50000,天府一街与益州大道交汇处（蒙彼利埃小学旁）,成都市银河湾房地产开发有限公司,成都中洲物业有限公司,2017.12,2018年04月30日,3.00,40年,40%,3009,6元/m²/月,地下车位数2146
37,成都棕榈泉国际中心, 21000,天府大道中段199号,成都棕榈泉联英置业有限公司,成都棕榈泉联英置业有限公司,2012.12,2014年06月30日,8.50,40年,31%,41,25元/m²/月,地下车位数1400
38,雄川中心, 20000,天府二街166号,成都雄川实业集团有限公司,四川省曌达物业服务有限公司,2017.12.30,2018年09月30日,7.00,40年,15%,480,4元/m²/月,地下车位数1054
39,领地环球金融中心, 20000,天府二街151号,领地集团房地产开发股份有限公司,香港戴德梁行物业管理公司,2016.11,2017年12月31日,11.60,40年,60%,20,20元/m²/月,地下车位数1853
40,融创香璟台二期, 45000,新成仁路与新川大道交汇处,成都融创仁源房地产开发有限公司,融创物业管理有限公司,2018.01.06,2019年12月31日,4.00,40年,30%,260,3元/m²/月,地下车位数1442
41,融创香璟台一期, 45000,高新区中和街道观东社区三组、龙灯山社区十一、十二组,成都融创仁源房地产开发有限公司,暂无,2018.05.04,2019年12月31日,3.00,40年,30%,260,暂无,地下车位数567
42,凯德世纪名邸, 20000,天府一街1333号（高新七中旁）,凯德（中国）企业管理有限公司成都分公司,成都置信物业管理有限公司,2018.11.07,2019年03月31日,3.10,70年,68%,2003,3.2元/m²/月,地下车位数2403
43,和雅嘉御, 80000,永丰路7号（衣冠庙地铁口B出口）,成都和意房地产开发有限公司,成都汇恒物业管理有限公司,2018.03,2018年12月31日,7.99,40年,15%,66,10元/m²/月,地下车位数204
44,中国华商交子公馆, 50000,金融城交子大道（天府国际金融中心旁）,成都格兰西亚置业有限公司,力宝物业,2018.01.22,2019年03月31日,2.29,40年,15%,126,23元/m²/月,地下车位数1788
