,foodtype,name,id,url,level,price,taste,envi,service,review
5025,烧烤,乐山太婆徐烧烤(新风路店),108346642,http://www.dianping.com/shop/108346642,准四星商户,-1,7.6,7.5,7.5,20
5026,烧烤,野火夜宵,104578633,http://www.dianping.com/shop/104578633,准四星商户,70,7.4,7.4,7.4,7
5027,烧烤,听花小院,102350507,http://www.dianping.com/shop/102350507,准四星商户,-1,7.2,7.2,7.3,24
5028,烧烤,石棉火焰烧烤,97189036,http://www.dianping.com/shop/97189036,准四星商户,68,7.5,7.5,7.5,45
5029,烧烤,虾舍,107984915,http://www.dianping.com/shop/107984915,准四星商户,-1,7.4,7.9,7.9,8
5030,烧烤,好日子烤肉店,90590367,http://www.dianping.com/shop/90590367,准四星商户,-1,7.7,7.5,7.6,13
5031,烧烤,九香石板烤肉(森林广场店),23720003,http://www.dianping.com/shop/23720003,准四星商户,64,7.5,7.4,7.5,257
5032,烧烤,寻欢焖烤羊肉串(新都体育森林公园店),97418228,http://www.dianping.com/shop/97418228,四星商户,-1,7.8,7.8,7.8,431
5033,烧烤,风云堂韩式烤肉(成华店),2048644,http://www.dianping.com/shop/2048644,准四星商户,36,6.9,6.6,6.8,55
5034,烧烤,爱尚韩国烤肉,20898091,http://www.dianping.com/shop/20898091,准四星商户,74,7.6,7.5,7.6,192
5035,烧烤,西苑乌龍烧,107747334,http://www.dianping.com/shop/107747334,准四星商户,-1,7.6,7.9,7.9,11
5036,烧烤,西昌肖氏藿香火盆烧烤(新繁店),65706598,http://www.dianping.com/shop/65706598,四星商户,35,7.9,7.9,7.9,127
5037,烧烤,胡记龙虾馆(花牌坊店),90310217,http://www.dianping.com/shop/90310217,准四星商户,53,7.7,7.4,7.7,18
5038,烧烤,乐山刘记烧烤(大世界商业广场店),2811712,http://www.dianping.com/shop/2811712,准四星商户,75,7.4,7.4,7.5,473
5039,烧烤,关鱼把把烧(犀浦店),104099906,http://www.dianping.com/shop/104099906,四星商户,-1,8.0,8.0,8.0,58
5040,烧烤,全氏烧烤•延边全自动无烟烧烤,110321640,http://www.dianping.com/shop/110321640,四星商户,-1,7.7,7.7,7.7,3
5041,烧烤,宅青年烤肉(优品道店),97754611,http://www.dianping.com/shop/97754611,准四星商户,-1,7.0,7.0,7.1,22
5042,烧烤,碳来香三国烤肉,21616711,http://www.dianping.com/shop/21616711,三星商户,62,6.8,6.8,6.8,5003
5043,烧烤,刘记东北风烧烤(温江店),98185498,http://www.dianping.com/shop/98185498,准四星商户,51,7.2,7.3,7.3,50
5044,烧烤,不二炭烤肉·西昌风味火盆烧烤,102143210,http://www.dianping.com/shop/102143210,准四星商户,-1,7.1,7.1,7.1,42
5045,烧烤,乐山油炸串串香,82690982,http://www.dianping.com/shop/82690982,准四星商户,27,7.4,7.2,7.3,105
5046,烧烤,销魂掌·麻辣干锅(新都店),67164741,http://www.dianping.com/shop/67164741,准四星商户,61,7.2,7.3,7.3,520
5047,烧烤,九段虾王(万科魅力城店),90972111,http://www.dianping.com/shop/90972111,准四星商户,114,7.5,7.2,6.9,41
5048,烧烤,嗨啤主题烤吧,99666413,http://www.dianping.com/shop/99666413,四星商户,-1,7.8,7.9,7.9,11
5049,烧烤,乐山刘记烧烤(中粮鸿云店),97419078,http://www.dianping.com/shop/97419078,三星商户,73,6.3,7.5,7.2,67
5050,烧烤,刘记糖醋烧烤,92788469,http://www.dianping.com/shop/92788469,准四星商户,-1,7.4,7.2,7.6,2
5051,烧烤,妙酱特色石棉烤肉(龙湖时代天街店),103639707,http://www.dianping.com/shop/103639707,准四星商户,-1,7.1,7.1,7.1,246
5052,烧烤,宜把火把把烧(静安店),92191116,http://www.dianping.com/shop/92191116,准四星商户,61,7.1,7.1,7.1,146
5053,烧烤,栀木韩式烤肉,96166370,http://www.dianping.com/shop/96166370,准四星商户,73,7.0,7.0,6.9,119
5054,烧烤,云南把把烧,101968810,http://www.dianping.com/shop/101968810,准四星商户,-1,7.6,7.7,7.7,2
5055,烧烤,西昌冕宁火盆自助烧烤,18448112,http://www.dianping.com/shop/18448112,准四星商户,60,7.4,7.3,7.4,847
5056,烧烤,三国炙烤肉,56909908,http://www.dianping.com/shop/56909908,准四星商户,74,7.2,7.3,7.2,309
5057,烧烤,大凉山西昌火盆烧烤,92716385,http://www.dianping.com/shop/92716385,准四星商户,-1,7.6,7.6,7.6,58
5058,烧烤,攀西原始烧烤,110681162,http://www.dianping.com/shop/110681162,准四星商户,-1,7.6,7.3,7.6,2
5059,烧烤,火庆自助烤肉馆,105308715,http://www.dianping.com/shop/105308715,准四星商户,-1,7.4,7.4,7.4,69
5060,烧烤,三圣乡正兴山庄,21119902,http://www.dianping.com/shop/21119902,准四星商户,69,6.9,6.9,6.9,161
5061,烧烤,村寨部落西昌火盆烧烤(昆华路店),98976867,http://www.dianping.com/shop/98976867,准四星商户,-1,7.3,7.4,7.4,31
5062,烧烤,三国惹火烤肉(天目路店),80620638,http://www.dianping.com/shop/80620638,准四星商户,63,7.2,7.2,7.2,2295
5063,烧烤,西昌火盆烧烤,38067715,http://www.dianping.com/shop/38067715,三星商户,75,6.8,6.8,6.8,518
5064,烧烤,吃个烧烤,69189636,http://www.dianping.com/shop/69189636,准四星商户,48,7.5,7.4,7.5,15
5065,烧烤,狂轰滥炸油炸串串,110429534,http://www.dianping.com/shop/110429534,准四星商户,-1,7.1,7.0,7.4,5
5066,烧烤,李文·把把烧(龙泉店),93787613,http://www.dianping.com/shop/93787613,准四星商户,-1,7.9,7.4,7.3,33
5067,烧烤,酥咪铬海鲜自助烤肉(大丰店),69331749,http://www.dianping.com/shop/69331749,准四星商户,49,7.4,7.4,7.5,945
5068,烧烤,西昌原生态竹签烧烤,17796343,http://www.dianping.com/shop/17796343,准四星商户,51,7.6,7.3,7.5,12
5069,烧烤,醉火岩烧烤肉,103660115,http://www.dianping.com/shop/103660115,四星商户,-1,8.0,8.0,8.0,45
5070,烧烤,锦城烧烤,79232657,http://www.dianping.com/shop/79232657,准四星商户,50,7.2,6.9,6.9,16
5071,烧烤,绿道烧烤罗家巷子休闲庄,66091338,http://www.dianping.com/shop/66091338,四星商户,40,8.2,8.2,8.2,164
5072,烧烤,阿郎山烤肉涮锅美食超市(新都店),22294052,http://www.dianping.com/shop/22294052,三星商户,57,6.9,6.9,6.9,6829
